target_return,expected_return,volatility,sharpe
-0.1211268757644092,-0.12112687573387011,0.28130333166566973,-0.4305916855539768
-0.11362930211715071,-0.1136293021070884,0.17894452383720116,-0.6349973705284506
-0.10613172846989223,-0.10613172846249344,0.17363774504289217,-0.6112249870342228
-0.09863415482263374,-0.09863415482152389,0.1709340638643328,-0.5770304209218825
-0.09113658117537525,-0.09113658117519192,0.16872370687000326,-0.5401527910088535
-0.08363900752811676,-0.08363900753108264,0.16672835559920945,-0.5016483682723925
-0.07614143388085828,-0.07614143388124964,0.16495669638516236,-0.46158437668674396
-0.0686438602335998,-0.06864386022496168,0.1634112557944082,-0.42006812744480854
-0.06114628658634131,-0.06114628658721013,0.16210279102218667,-0.37720687103309136
-0.05364871293908283,-0.053648712940476066,0.16103747088428425,-0.3331442840345283
-0.046151139291824336,-0.04615113929342031,0.16021726867600836,-0.28805346436623647
-0.038653565644565846,-0.03865356564420406,0.1596478993900853,-0.24211759623443302
-0.03115599199730737,-0.031155991997665795,0.15931155958037602,-0.19556642392887344
-0.02365841835004888,-0.023658418350307506,0.15914949219320113,-0.14865531786672076
-0.01616084470279039,-0.016160844702353065,0.15915913748833585,-0.1015389060118363
-0.008663271055531913,-0.008663271055706249,0.1593396299695028,-0.0543698454512815
-0.0011656974082734223,-0.0011656974080908673,0.15969130805359288,-0.007299692276925027
0.006331876238985068,0.006331876239231689,0.16021214981804072,0.0395218230728634
0.013829449886243544,0.013829449886166141,0.16090121780475375,0.08594993919155755
0.02132702353350205,0.02132702353347906,0.1617562082607283,0.1318467078500189
0.028824597180760525,0.02882459718080621,0.1627748985193145,0.17708256889120988
0.036322170828019,0.03632217082811802,0.1639530662534305,0.22154005202911553
0.043819744475277506,0.043819744476665645,0.1652881708912129,0.26511119483260737
0.05131731812253598,0.051317318121988496,0.1667760019058929,0.3077020526666987
0.05881489176979446,0.05881489176982975,0.1684257254152123,0.3492037313470734
0.06631246541705296,0.06631246541920385,0.17037628410345748,0.38921183055581243
0.07381003906431144,0.07381003906513936,0.17265839080503045,0.4274917582690043
0.08130761271156992,0.08130761271187775,0.17526288213142388,0.4639180397073913
0.08880518635882842,0.08880518635997652,0.17836924269930773,0.4978727555046192
0.0963027600060869,0.0963027600083701,0.18205688449060128,0.5289707130704071
0.10380033365334537,0.10380033365191509,0.18629038019040678,0.5571964239152934
0.11129790730060388,0.11129790730086235,0.19105039720255498,0.5825578430117702
0.11879548094786235,0.11879548094889461,0.19663016924574128,0.6041569378930265
0.12629305459512083,0.12629305451375392,0.20308969596010226,0.6218585040304786
0.13379062824237933,0.13379062825439605,0.21034782458009962,0.6360447440874251
0.14128820188963784,0.14128820183982535,0.21832501738940685,0.6471461838375682
0.1487857755368963,0.14878577552314462,0.22694544726603744,0.655601499459604
0.1562833491841548,0.15628334920631304,0.2366590052394324,0.6603735575081887
0.1637809228314133,0.16378092273653433,0.25252447948643214,0.6485744394746257
0.17127849647867177,0.17127849647867174,0.27473939597549396,0.6234216824657697
