portfolio,asset,weight
max_sharpe,ASSET_1,1.5530105492013398e-16
max_sharpe,ASSET_2,0.7563650372384912
max_sharpe,ASSET_3,0.0
max_sharpe,ASSET_4,0.24363496276150853
max_sharpe,ASSET_5,2.3071877916703926e-16
max_sharpe,ASSET_6,0.0
minimum_variance,ASSET_1,0.24786513708977237
minimum_variance,ASSET_2,0.028975950321850876
minimum_variance,ASSET_3,0.18282311117308905
minimum_variance,ASSET_4,0.08983151653621996
minimum_variance,ASSET_5,0.32051564482854705
minimum_variance,ASSET_6,0.12998864005052063
risk_parity,ASSET_1,0.18068490564956927
risk_parity,ASSET_2,0.14531446992719477
risk_parity,ASSET_3,0.17938282879733686
risk_parity,ASSET_4,0.14926416621982722
risk_parity,ASSET_5,0.18049511097846524
risk_parity,ASSET_6,0.16485851842760663
equal_weight,ASSET_1,0.16666666666666666
equal_weight,ASSET_2,0.16666666666666666
equal_weight,ASSET_3,0.16666666666666666
equal_weight,ASSET_4,0.16666666666666666
equal_weight,ASSET_5,0.16666666666666666
equal_weight,ASSET_6,0.16666666666666666
